forward current [mA],forward voltage [V],power [mW]
  2, 1.85,   4
  3, 1.88,   6
  4, 1.89,   8
  5, 1.92,  10
  6, 1.92,  12
  7, 1.93,  14
  8, 1.95,  16
  9, 1.95,  18
 10, 1.95,  20
 11, 1.96,  22
 12, 1.97,  24
 13, 1.98,  26
 14, 1.98,  28
 15, 1.99,  30
 16, 1.99,  32
 17, 2.00,  34
 18, 2.01,  36
 19, 2.01,  38
 20, 2.02,  40
