forward current [mA],forward voltage [V],power [mW]
  2, 1.80,   4
  3, 1.84,   6
  4, 1.86,   7
  5, 1.89,   9
  6, 1.90,  11
  7, 1.92,  13
  8, 1.93,  15
  9, 1.95,  18
 10, 1.96,  20
 11, 1.97,  22
 12, 1.98,  24
 13, 1.99,  26
 14, 2.00,  28
 15, 2.01,  30
 16, 2.02,  32
 17, 2.02,  34
 18, 2.02,  36
 19, 2.03,  39
 20, 2.05,  41
